Name,Node,Stat,ValueKind,ValuePerPoint,RequiredTags,Condition,ConditionValue,Scale,ScaleStep
Bulwark_basic_trunk_001#1,Bulwark_basic_trunk_001,armor,increased,3.0,,,0.0,,0.0
Bulwark_basic_trunk_004#1,Bulwark_basic_trunk_004,health_regen,increased,4.0,,,0.0,,0.0
Bulwark_basic_trunk_008#1,Bulwark_basic_trunk_008,damage_reduction,more,1.5,,,0.0,,0.0
Saboteur_basic_trap_deep_001#1,Saboteur_basic_trap_deep_001,area_of_effect,increased,15.0,Type.Trap,,0.0,,0.0
Masochist_basic_spine_002#1,Masochist_basic_spine_002,health_regen,increased,2.0,,,0.0,,0.0
Masochist_basic_spine_004#1,Masochist_basic_spine_004,life_leech,increased,2.0,,,0.0,,0.0
Masochist_basic_spine_008#1,Masochist_basic_spine_008,class_resource,increased,2.0,,,0.0,,0.0
Masochist_basic_spine_009#1,Masochist_basic_spine_009,crowd_control_resistance,increased,2.0,,,0.0,,0.0
Masochist_basic_spine_010#1,Masochist_basic_spine_010,retaliation,increased,3.0,,,0.0,,0.0
Masochist_basic_fc_stem0#1,Masochist_basic_fc_stem0,armor,increased,3.0,,,0.0,,0.0
Masochist_basic_fc_stem1#1,Masochist_basic_fc_stem1,max_health,increased,1.0,,,0.0,,0.0
Masochist_basic_fc_stem2#1,Masochist_basic_fc_stem2,retaliation,increased,3.0,,,0.0,,0.0
Masochist_basic_fc_b1#1,Masochist_basic_fc_b1,life_leech,increased,3.0,,,0.0,,0.0
Masochist_basic_fc_c1#1,Masochist_basic_fc_c1,crowd_control_resistance,increased,2.0,,,0.0,,0.0
Masochist_basic_bt_c1#1,Masochist_basic_bt_c1,class_resource,increased,2.0,,,0.0,,0.0
Masochist_basic_fl_stem0#1,Masochist_basic_fl_stem0,dot_damage,increased,2.0,,,0.0,,0.0
Masochist_basic_fl_stem1#1,Masochist_basic_fl_stem1,dot_duration,increased,2.0,,,0.0,,0.0
Masochist_basic_fl_stem2#1,Masochist_basic_fl_stem2,max_health,increased,1.0,,,0.0,,0.0
Masochist_basic_fl_c1#1,Masochist_basic_fl_c1,class_resource,increased,2.0,,,0.0,,0.0
Masochist_basic_ll_stem0#1,Masochist_basic_ll_stem0,movement_speed,increased,1.0,,,0.0,,0.0
Masochist_basic_ll_stem1#1,Masochist_basic_ll_stem1,crit_multiplier,increased,3.0,,,0.0,,0.0
Masochist_basic_ll_stem2#1,Masochist_basic_ll_stem2,retaliation,increased,2.0,,,0.0,,0.0
Masochist_basic_ll_c1#1,Masochist_basic_ll_c1,class_resource,increased,2.0,,,0.0,,0.0
Masochist_basic_bt_stem2#1,Masochist_basic_bt_stem2,max_health,increased,2.0,,,0.0,,0.0
Masochist_basic_spine_000#1,Masochist_basic_spine_000,fervour_from_damage,flat,1.0,,,0.0,,0.0
Masochist_basic_spine_000#2,Masochist_basic_spine_000,fervour_from_cost,flat,1.0,,,0.0,,0.0
Masochist_basic_spine_000#3,Masochist_basic_spine_000,fervour_lost_to_healing,flat,1.0,,,0.0,,0.0
Masochist_basic_spine_006#1,Masochist_basic_spine_006,fervour_from_damage,increased,2.0,,,0.0,,0.0
Masochist_basic_spine_007#1,Masochist_basic_spine_007,fervour_from_cost,increased,2.0,,,0.0,,0.0
Masochist_basic_fc_c0#1,Masochist_basic_fc_c0,fervour_from_damage,increased,2.0,,,0.0,,0.0
Masochist_basic_fl_c0#1,Masochist_basic_fl_c0,fervour_from_damage,increased,2.0,Keyword.DoT,,0.0,,0.0
Masochist_basic_ll_c0#1,Masochist_basic_ll_c0,fervour_from_cost,increased,2.0,,,0.0,,0.0
Masochist_basic_bt_stem0#1,Masochist_basic_bt_stem0,fervour_from_cost,increased,2.0,,,0.0,,0.0
Masochist_basic_bt_c0#1,Masochist_basic_bt_c0,fervour_lost_to_healing,increased,-5.0,Keyword.Regeneration,,0.0,,0.0
Masochist_basic_spine_001#1,Masochist_basic_spine_001,max_health,increased,1.0,,,0.0,,0.0
Masochist_basic_spine_001#2,Masochist_basic_spine_001,armor,increased,0.5,,,0.0,,0.0
Masochist_basic_ll_a1#1,Masochist_basic_ll_a1,crit_chance,increased,3.0,,health_at_or_below,20.0,,0.0
Masochist_basic_ll_b0#1,Masochist_basic_ll_b0,movement_speed,increased,1.0,,health_at_or_below,50.0,,0.0
Masochist_basic_ll_a0#1,Masochist_basic_ll_a0,attack_damage,increased,2.0,,health_at_or_below,35.0,,0.0
Masochist_basic_ll_a0#2,Masochist_basic_ll_a0,spell_damage,increased,2.0,,health_at_or_below,35.0,,0.0
Masochist_basic_bt_b0#1,Masochist_basic_bt_b0,attack_damage,increased,2.0,,seconds_after_health_cost,2.0,,0.0
Masochist_basic_bt_b0#2,Masochist_basic_bt_b0,spell_damage,increased,2.0,,seconds_after_health_cost,2.0,,0.0
Masochist_basic_fc_a0#1,Masochist_basic_fc_a0,attack_damage,increased,1.0,,,0.0,health_missing,5.0
Masochist_basic_bt_stem1#1,Masochist_basic_bt_stem1,added_health_cost,flat,1.0,,,0.0,,0.0
Masochist_basic_ll_a2#1,Masochist_basic_ll_a2,cooldown_skip_chance,flat,5.0,,health_at_or_below,5.0,,0.0
Masochist_basic_spine_003#1,Masochist_basic_spine_003,attack_damage,increased,1.0,,seconds_after_foreign_damage,5.0,,0.0
Masochist_basic_spine_003#2,Masochist_basic_spine_003,spell_damage,increased,1.0,,seconds_after_foreign_damage,5.0,,0.0
Masochist_keystone_fc_kC#1,Masochist_keystone_fc_kC,fervour_from_damage,more,30.0,,,0.0,,0.0
Masochist_keystone_fc_kC#2,Masochist_keystone_fc_kC,fervour_from_cost,more,-50.0,,,0.0,,0.0
Masochist_keystone_bt_kC#1,Masochist_keystone_bt_kC,fervour_from_cost,more,30.0,,,0.0,,0.0
Masochist_keystone_bt_kC#2,Masochist_keystone_bt_kC,fervour_from_damage,more,-50.0,,,0.0,,0.0
Masochist_keystone_spine_003#1,Masochist_keystone_spine_003,retaliation,increased,1.0,,,0.0,class_resource_held,1.0
Masochist_basic_bt_b2#1,Masochist_basic_bt_b2,attack_damage,increased,4.0,,skill_health_cost_above,10.0,,0.0
Masochist_basic_bt_b2#2,Masochist_basic_bt_b2,spell_damage,increased,4.0,,skill_health_cost_above,10.0,,0.0
Masochist_keystone_bt_kB#1,Masochist_keystone_bt_kB,added_health_cost_of_current,flat,15.0,,,0.0,,0.0
Masochist_keystone_bt_kB#2,Masochist_keystone_bt_kB,attack_damage,more,40.0,,,0.0,,0.0
Masochist_keystone_bt_kB#3,Masochist_keystone_bt_kB,spell_damage,more,40.0,,,0.0,,0.0
Masochist_keystone_ll_kB#1,Masochist_keystone_ll_kB,healing_ceiling_reduction,flat,50.0,,,0.0,,0.0
Masochist_keystone_ll_kB#2,Masochist_keystone_ll_kB,attack_damage,more,25.0,,,0.0,,0.0
Masochist_keystone_ll_kB#3,Masochist_keystone_ll_kB,spell_damage,more,25.0,,,0.0,,0.0
Masochist_basic_bt_a0#1,Masochist_basic_bt_a0,deferred_health_cost_share,flat,10.0,,,0.0,,0.0
Masochist_basic_bt_a1#1,Masochist_basic_bt_a1,attack_damage,increased,1.0,,,0.0,health_owed,5.0
Masochist_basic_bt_a1#2,Masochist_basic_bt_a1,spell_damage,increased,1.0,,,0.0,health_owed,5.0
